nevek	nem (1=férfi, 2=nő)
Akilina	2
Alamea	2
Alaméa	2
Alana	2
Alba	2
Alberta	2
Albertin	2
Albertina	2
Albina	2
Alda	2
Áldáska	2
Aldea	2
Álea	2
Aléna	2
Aleszja	2
Alesszia	2
Alett	2
Aletta	2
Alexa	2
Alexandra	2
Alexandrin	2
Alexandrina	2
Alexia	2
Alfonza	2
Alfonzin	2
Alfonzina	2
Alfréda	2
Alia	2
Aliana	2
Alica	2
Alicia	2
Alícia	2
Alida	2
Alina	2
Alinda	2
Alinka	2
Alirán	2
Alisa	2
Aliszia	2
Alissza	2
Alita	2
Alitta	2
Aliz	2
Alíz	2
Aliza	2
Alizé	2
Alízia	2
Allegra	2
Alma	2
Almanda	2
Almira	2
Almiréna	2
Almitra	2
Aloé	2
Alojzia	2
Aloma	2
Alóma	2
Altea	2
Alvina	2
Ama	2
Amábel	2
Amadea	2
Amadil	2
Amaja	2
Amál	2
Amália	2
Amana	2
Amanda	2
Amandina	2
Amara	2
Amarant	2
Amaranta	2
Amarill	2
Amarilla	2
Amarillisz	2
Amáta	2
Amázia	2
Ambrózia	2
Amelda	2
Ameli	2
Amélia	2
Amelita	2
Ametiszt	2
Amidala	2
Amilla	2
Amina	2
Ámina	2
Aminta	2
Amira	2
Amrita	2
Anabel	2
Anabell	2
Anabella	2
Anada	2
Anahita	2
Anaisz	2
Anaszta	2
Anasztázia	2
Anatólia	2
Ancilla	2
Anda	2
Andelin	2
Andelina	2
Andi	2
Andrea	2
Andreina	2
Androméda	2
Anélia	2
Anelma	2
Anéta	2
Anett	2
Anetta	2
Ánfissza	2
Angéla	2
Angélia	2
Angelika	2
Angelina	2
Angella	2
Angyal	2
Angyalka	2
Ani	2
Ania	2
Anica	2
Anicéta	2
Aniella	2
Anika	2
Anikó	2
Anilla	2
Anima	2
Anina	2
Anisza	2
Anissza	2
Anita	2
Anitra	2
Anízia	2
Ánizs	2
Anka	2
Ankisza	2
Anna	2
Annabel	2
Annabell	2
Annabella	2
Annabori	2
Annakarina	2
Annakata	2
Annalea	2
Annaleila	2
Annaléna	2
Annalilla	2
Annaliza	2
Annalujza	2
Annamari	2
Annamária	2
Annamira	2
Annamíra	2
Annaregina	2
Annaréka	2
Annarita	2
Annaróza	2
Annasára	2
Annaszofi	2
Annaszófia	2
Annavera	2
Annavirág	2
Annazsófia	2
Anneke	2
Annelin	2
Anni	2
Annika	2
Annunciáta	2
Anriett	2
Antea	2
Antigoné	2
Antoaneta	2
Antoanett	2
Antonella	2
Antónia	2
Antoniett	2
Antonietta	2
Anzelma	2
Ánya	2
Apol	2
Apolka	2
Apollinária	2
Apollónia	2
Aporka	2
Appia	2
Ápril	2
Áprilka	2
Arabella	2
Aranka	2
Arany	2
Aranyka	2
Aranyos	2
Arenta	2
Ari	2
Aria	2
Ariadna	2
Ariadné	2
Ariana	2
Arianna	2
Ariéla	2
Ariella	2
Arienn	2
Arietta	2
Arika	2
Arikán	2
Arina	2
Arinka	2
Arita	2
Arlena	2
Arlett	2
Armanda	2
Armandina	2
Armella	2
Armida	2
Armilla	2
Ármina	2
Arna	2
Árnika	2
Arnolda	2
Arona	2
Árpádina	2
Artemisz	2
Artemízia	2
Artiana	2
Árvácska	2
Árven	2
Arzénia	2
Asella	2
Asma	2
Ászja	2
Aszpázia	2
Asszunta	2
Asztéria	2
Asztrid	2
Asztrida	2
Atala	2
Atalanta	2
Atália	2
Atanázia	2
Atára	2
Aténa	2
Aténé	2
Atika	2
Atina	2
Auguszta	2
Augusztina	2
Aura	2
Aurea	2
Aurélia	2
Aurora	2
Auróra	2
Avani	2
Avarka	2
Aviána	2
Avitál	2
Azálea	2
Aziza	2
Azra	2
Azucséna	2
Azura	2
Azurea	2
Babér	2
Babett	2
Babetta	2
Babiána	2
Babita	2
Bagita	2
Bahar	2
Balbina	2
Balda	2
Balzsa	2
Balzsam	2
Bara	2
Barack	2
Baranka	2
Barbara	2
Barbarella	2
Barbel	2
Barbi	2
Barka	2
Bársony	2
Bársonyka	2
Baucisz	2
Bazilia	2
Bea	2
Beáta	2
Beatricse	2
Beatrisz	2
Beatrix	2
Bebóra	2
Béda	2
Begónia	2
Bejke	2
Béke	2
Bekka	2
Belinda	2
Bella	2
Bellaróza	2
Bellatrix	2
Benáta	2
Benedetta	2
Benedikta	2
Beneditta	2
Benigna	2
Benita	2
Benjamina	2
Bereniké	2
Berfin	2
Berill	2
Berkenye	2
Berna	2
Bernadett	2
Bernadetta	2
Bernarda	2
Bernardina	2
Berta	2
Bertilla	2
Bertina	2
Bertolda	2
Béta	2
Betsabé	2
Betta	2
Betti	2
Bettina	2
Biana	2
Bianka	2
Bibiána	2
Bíbor	2
Bíbora	2
Bíboranna	2
Bíborka	2
Bié	2
Birgit	2
Biri	2
Bítia	2
Blandina	2
Blanka	2
Blazsena	2
Blondina	2
Bóbita	2
Bodza	2
Bogárka	2
Bogáta	2
Bogdána	2
Bogi	2
Boglár	2
Boglárka	2
Bojána	2
Bolda	2
Bolívia	2
Boni	2
Bonita	2
Bonni	2
Bora	2
Bóra	2
Borbála	2
Borbolya	2
Borcsa	2
Bori	2
Boris	2
Boriska	2
Borka	2
Boróka	2
Borostyán	2
Borsika	2
Bozsena	2
Bozsóka	2
Böbe	2
Böske	2
Brenda	2
Briana	2
Brianna	2
Briell	2
Brigi	2
Brigitta	2
Britani	2
Britni	2
Britta	2
Brohe	2
Brunella	2
Brunhilda	2
Brünhild	2
Búzavirág	2
Cecília	2
Cecilla	2
Celerina	2
Celeszta	2
Celesztina	2
Célia	2
Celina	2
Cettina	2
Cezarin	2
Cezarina	2
Cicelle	2
Ciklámen	2
Cila	2
Cili	2
Cilka	2
Cilla	2
Cinderella	2
Cinella	2
Cinka	2
Cinna	2
Cinnia	2
Cintia	2
Cipora	2
Cippóra	2
Cipra	2
Cipriána	2
Ciprienn	2
Cirel	2
Cirilla	2
Citta	2
Csaga	2
Csalka	2
Csende	2
Csendike	2
Csenge	2
Csengele	2
Csente	2
Cseperke	2
Csepke	2
Cseresznye	2
Csermely	2
Cserne	2
Csilla	2
Csillag	2
Csillagvirág	2
Csinszka	2
Csinyere	2
Csobánka	2
Csobilla	2
Csoboka	2
Csönge	2
Csöre	2
Dafna	2
Dafné	2
Dála	2
Dalanda	2
Dália	2
Daliborka	2
Dalida	2
Dalla	2
Dalma	2
Damajanti	2
Damarisz	2
Damiána	2
Damira	2
Damjána	2
Dana	2
Danica	2
Daniela	2
Daniéla	2
Daniella	2
Danila	2
Danka	2
Danna	2
Danuta	2
Dára	2
Daria	2
Dária	2
Darina	2
Darinka	2
Darla	2
Davina	2
Dea	2
Debóra	2
Delani	2
Delfina	2
Délia	2
Délibáb	2
Delila	2
Delina	2
Delinda	2
Delinke	2
Della	2
Demetria	2
Déna	2
Denerisz	2
Denisza	2
Denissza	2
Deniza	2
Deodáta	2
Derien	2
Detti	2
Dettina	2
Déva	2
Devana	2
Deveni	2
Devínia	2
Dezdemóna	2
Dézi	2
Dezideráta	2
Dezidéria	2
Dia	2
Diana	2
Diána	2
Diandra	2
Didra	2
Diké	2
Dilara	2
Dimitra	2
Dina	2
Dinara	2
Dió	2
Dionízia	2
Diotíma	2
Ditke	2
Ditta	2
Ditte	2
Ditti	2
Dolli	2
Dolóresz	2
Dolorita	2
Doloróza	2
Domicella	2
Domiciána	2
Dominika	2
Dominka	2
Domitilla	2
Donáta	2
Donatella	2
Donja	2
Donna	2
Dóra	2
Dorabella	2
Doren	2
Doretta	2
Dóri	2
Dorina	2
Dorinda	2
Dorinka	2
Dorisz	2
Dorit	2
Dorka	2
Dorkás	2
Dorkász	2
Dormánka	2
Dorotea	2
Doroti	2
Dorotina	2
Dorottya	2
Dotti	2
Döníz	2
Druzsiána	2
Dulcinea	2
Dusánka	2
Dusenka	2
Dusmáta	2
Dvora	2
Dzsamila	2
Dzsámília	2
Dzsamilla	2
Dzsenet	2
Dzsenifer	2
Dzsenisz	2
Dzsenna	2
Dzsenni	2
Dzsesszika	2
Dzsindzser	2
Écska	2
Éda	2
Edda	2
Edentina	2
Edina	2
Edit	2
Edmunda	2
Edna	2
Édra	2
Édua	2
Eduárda	2
Edvarda	2
Edvina	2
Effi	2
Efrata	2
Egberta	2
Egres	2
Eija	2
Eisa	2
Ekaterina	2
Ékes	2
Elanor	2
Eleanor	2
Elefteria	2
Elektra	2
Elen	2
Elena	2
Eleni	2
Elenor	2
Eleonóra	2
Életke	2
Elfrida	2
Elga	2
Eliána	2
Elida	2
Elif	2
Elin	2
Elina	2
Elinor	2
Eliora	2
Eliska	2
Eliz	2
Elíz	2
Eliza	2
Elizabell	2
Elizabet	2
Elizia	2
Elizin	2
Elka	2
Elke	2
Ella	2
Elli	2
Ellina	2
Elma	2
Elmira	2
Eloiz	2
Elvira	2
Elza	2
Emanuéla	2
Emerencia	2
Emerika	2
Emerina	2
Emerita	2
Emerka	2
Emese	2
Émi	2
Emili	2
Emilia	2
Emília	2
Emiliána	2
Emina	2
Emíra	2
Emma	2
Emmaléna	2
Emmaróza	2
Emmi	2
Emõ	2
Emõke	2
Enciána	2
Ené	2
Enéh	2
Enese	2
Enet	2
Enid	2
Enikõ	2
Enja	2
Enna	2
Enola	2
Éovin	2
Eper	2
Eperke	2
Epifánia	2
Eponin	2
Era	2
Erátó	2
Erika	2
Erina	2
Ermelinda	2
Erna	2
Ernella	2
Erneszta	2
Ernesztin	2
Ernesztina	2
Ervina	2
Ervínia	2
Erzsébet	2
Erzsi	2
Esma	2
Estella	2
Estike	2
Estilla	2
Eszmeralda	2
Esztella	2
Eszténa	2
Eszter	2
Eta	2
Etel	2
Etelka	2
Etka	2
Etta	2
Etus	2
Eudókia	2
Eudoxia	2
Eufémia	2
Eufrozina	2
Eugénia	2
Eulália	2
Eunika	2
Euniké	2
Euridiké	2
Európa	2
Eutímia	2
Euzébia	2
Éva	2
Evangelika	2
Evangelina	2
Evelin	2
Evelina	2
Evetke	2
Évi	2
Evica	2
Evila	2
Evina	2
Evita	2
Evódia	2
Evolet	2
Evolett	2
Evra	2
Fabiána	2
Fabióla	2
Fabrícia	2
Fadett	2
Fahéj	2
Fáni	2
Fanna	2
Fanni	2
Fantina	2
Fárá	2
Fáta	2
Fatima	2
Fatime	2
Fausztina	2
Fébé	2
Febrónia	2
Federika	2
Fedóra	2
Fédra	2
Fehér	2
Fehéra	2
Fehére	2
Fehérke	2
Felda	2
Felícia	2
Feliciána	2
Felicita	2
Felicitás	2
Felicitász	2
Femke	2
Fenenna	2
Feodóra	2
Ferdinanda	2
Fernanda	2
Fiametta	2
Fiamma	2
Fidélia	2
Filadelfia	2
Filippa	2
Fillisz	2
Filoméla	2
Filoména	2
Filotea	2
Fióna	2
Fiorella	2
Fioretta	2
Firtos	2
Flamina	2
Flanna	2
Flávia	2
Flóra	2
Floransz	2
Florencia	2
Florentina	2
Florianna	2
Florica	2
Florina	2
Florinda	2
Fortuna	2
Fortunáta	2
Fõbe	2
Franciska	2
Frangipáni	2
Franka	2
Franni	2
Freja	2
Frézia	2
Frida	2
Friderika	2
Fruzsina	2
Fulvia	2
Fürtike	2
Füzér	2
Füzike	2
Gabriella	2
Gaia	2
Gajána	2
Gala	2
Galamb	2
Galatea	2
Gália	2
Galina	2
Ganka	2
Gardénia	2
Gauri	2
Géda	2
Géla	2
Gemella	2
Gemma	2
Génia	2
Genovéva	2
Georgina	2
Gerbera	2
Gerda	2
Gerle	2
Gerti	2
Gertrúd	2
Gertrúdisz	2
Gesztenye	2
Gilberta	2
Gilda	2
Gina	2
Giszmunda	2
Gitka	2
Gitta	2
Giza	2
Gizella	2
Glenda	2
Glenna	2
Glória	2
Godiva	2
Golda	2
Golde	2
Goldi	2
Goldina	2
Gordána	2
Grácia	2
Graciána	2
Graciella	2
Grész	2
Gréta	2
Gréte	2
Gréti	2
Grizelda	2
Grizeldisz	2
Gunda	2
Gvenda	2
Gvendolin	2
Gyémánt	2
Gyopár	2
Gyopárka	2
Gyömbér	2
Gyöngy	2
Gyöngyi	2
Gyöngyike	2
Gyöngyös	2
Gyöngyvér	2
Gyöngyvirág	2
Györgyi	2
Györgyike	2
Hadassa	2
Hágár	2
Hajna	2
Hajnácska	2
Hajnal	2
Hajnalka	2
Hajni	2
Halina	2
Hana	2
Hanga	2
Hani	2
Hanife	2
Hanka	2
Hanna	2
Hannabella	2
Hannadóra	2
Hannaliza	2
Hannaróza	2
Hanni	2
Hargita	2
Hargitta	2
Harmat	2
Harmatka	2
Harriet	2
Hatidzse	2
Havadi	2
Havaska	2
Heba	2
Hébé	2
Héda	2
Hedda	2
Hédi	2
Hedvig	2
Heidi	2
Héla	2
Helen	2
Helén	2
Helena	2
Heléna	2
Helga	2
Héli	2
Hélia	2
Helka	2
Hella	2
Helza	2
Heni	2
Henna	2
Henni	2
Henriett	2
Henrietta	2
Héra	2
Hermia	2
Hermina	2
Herta	2
Heszna	2
Hessza	2
Hetti	2
Hiacinta	2
Hieronima	2
Hilária	2
Hilda	2
Hildegárd	2
Hildelita	2
Hilka	2
Hina	2
Hippia	2
Hippolita	2
Hófehérke	2
Holda	2
Holli	2
Honóra	2
Honoráta	2
Honória	2
Honorina	2
Honorka	2
Horácia	2
Hortenzia	2
Hóvirág	2
Huberta	2
Hunóra	2
Hunorka	2
Hürrem	2
Ibolya	2
Ibolyka	2
Ica	2
Ida	2
Idril	2
Iduna	2
Ifigénia	2
Iglice	2
Ignácia	2
Ika	2
Ila	2
Ilang	2
Ilcsi	2
Ilda	2
Ildi	2
Ildikó	2
Ilitia	2
Ilka	2
Illa	2
Illangó	2
Ilma	2
Ilna	2
Ilon	2
Ilona	2
Ilonka	2
Ilus	2
Iluska	2
Ilza	2
Ilze	2
Imela	2
Imelda	2
Immakuláta	2
Imodzsen	2
Imogén	2
Imola	2
Inana	2
Inci	2
India	2
Indira	2
Indra	2
Inessza	2
Inez	2
Inge	2
Ingeborg	2
Ingrid	2
Inka	2
Innocencia	2
Ippolita	2
Ira	2
Iremide	2
Irén	2
Iréne	2
Irénke	2
Irina	2
Iringó	2
Írisz	2
Irma	2
Isméria	2
Itala	2
Ivána	2
Ivett	2
Ivetta	2
Ivica	2
Ividõ	2
Ivola	2
Ivon	2
Ivonn	2
Iza	2
Izabel	2
Izabell	2
Izabella	2
Izaura	2
Izidóra	2
Ízisz	2
Izméne	2
Izolda	2
Izóra	2
Jácinta	2
Jáde	2
Jádránka	2
Jadviga	2
Jáel	2
Jáél	2
Jaffa	2
Jáhel	2
Jaina	2
Jakobina	2
Jamina	2
Jamuná	2
Jana	2
Jána	2
Janina	2
Janka	2
Janna	2
Jara	2
Jára	2
Járá	2
Jarmila	2
Jászira	2
Jávorka	2
Jázmin	2
Jázmina	2
Jelena	2
Jelina	2
Jelka	2
Jella	2
Jemima	2
Jenni	2
Jente	2
Jerne	2
Jeronima	2
Jerta	2
Jeszénia	2
Jetta	2
Jetti	2
Jiszka	2
Joana	2
Johanka	2
Johanna	2
Johara	2
Jokébed	2
Jola	2
Jolán	2
Jolanda	2
Jolánka	2
Jolánta	2
Joli	2
Jolina	2
Jonka	2
Jonna	2
Jordána	2
Joszina	2
Jována	2
Jozefa	2
Jozefin	2
Jozefina	2
Józsa	2
Juci	2
Judit	2
Julcsi	2
Juli	2
Júlia	2
Juliána	2
Julianna	2
Julietta	2
Julilla	2
Julinka	2
Juliska	2
Julitta	2
Julka	2
Júnó	2
Jusztícia	2
Jusztina	2
Jusztínia	2
Jutka	2
Jutta	2
Kádizsá	2
Kála	2
Kali	2
Kalina	2
Kalipszó	2
Kalli	2
Kalliopé	2
Kalliszta	2
Kalpavalli	2
Kámea	2
Kamélia	2
Kamilia	2
Kamília	2
Kamilla	2
Kandida	2
Karen	2
Karin	2
Karina	2
Kárisz	2
Karitász	2
Karla	2
Karméla	2
Karmelina	2
Karmella	2
Karmen	2
Kármen	2
Kármin	2
Karola	2
Karolin	2
Karolina	2
Karolt	2
Kasszandra	2
Kassziopeia	2
Kata	2
Katalea	2
Katalin	2
Katalina	2
Katarina	2
Katerina	2
Kati	2
Katica	2
Katinka	2
Kató	2
Katrin	2
Katrina	2
Kátya	2
Kecia	2
Keikó	2
Kéla	2
Kelda	2
Kelli	2
Kendra	2
Kenza	2
Kéra	2
Kéren	2
Kerka	2
Kersztin	2
Kerubina	2
Késa	2
Ketrin	2
Kiara	2
Kikinda	2
Kiliána	2
Kimberli	2
Kincs	2
Kincse	2
Kincsõ	2
Kinga	2
Kira	2
Kíra	2
Kiri	2
Kirilla	2
Kirtana	2
Kisanna	2
Kisó	2
Kitana	2
Kitti	2
Klára	2
Klári	2
Klarisz	2
Klarissza	2
Klaudetta	2
Klaudia	2
Klaudiána	2
Klea	2
Klélia	2
Klemátisz	2
Klemencia	2
Klementin	2
Klementina	2
Kleó	2
Kleopátra	2
Klió	2
Kloé	2
Klotild	2
Kolett	2
Koletta	2
Kolomba	2
Kolombina	2
Konkordia	2
Konstancia	2
Konstantina	2
Kora	2
Korália	2
Korall	2
Kordélia	2
Koretta	2
Korina	2
Korinna	2
Kornélia	2
Koronilla	2
Kozett	2
Kozima	2
Kökény	2
Kreola	2
Kreszcencia	2
Krimhilda	2
Kriszta	2
Krisztabell	2
Kriszti	2
Krisztiána	2
Krisztin	2
Krisztina	2
Krizanta	2
Krizia	2
Kunigunda	2
Kunti	2
Küllikki	2
Küne	2
Ladiszla	2
Lagerta	2
Laksmi	2
Lalita	2
Lamberta	2
Lana	2
Lara	2
Larcia	2
Larett	2
Larina	2
Larissza	2
Lartia	2
Latífe	2
Latiká	2
Latinka	2
Laura	2
Laurencia	2
Lauretta	2
Lava	2
Lavanda	2
Lavínia	2
Lea	2
Leandra	2
Léda	2
Leila	2
Lejka	2
Lejla	2
Lejle	2
Lejre	2
Léla	2
Lélia	2
Lelle	2
Lemna	2
Léna	2
Lencsi	2
Léni	2
Lenita	2
Lenka	2
Lenke	2
Lenor	2
Lenóra	2
Leona	2
Leonarda	2
Leonetta	2
Leoni	2
Leonor	2
Leonóra	2
Leontina	2
Leopolda	2
Leopoldina	2
Leóti	2
Leticia	2
Letícia	2
Letisa	2
Létó	2
Letta	2
Letti	2
Levendula	2
Levina	2
Levízia	2
Lexa	2
Lia	2
Liana	2
Liána	2
Lianna	2
Liara	2
Lícia	2
Lida	2
Lidi	2
Lídia	2
Lígia	2
Lili	2
Lilia	2
Lilian	2
Lilián	2
Liliána	2
Lilianna	2
Lilibell	2
Lilibet	2
Lilien	2
Liliom	2
Liliróza	2
Lilit	2
Lilita	2
Lilla	2
Lilu	2
Lina	2
Linda	2
Linéa	2
Linett	2
Linetta	2
Linka	2
Lionella	2
Lióra	2
Lira	2
Líra	2
Líria	2
Lita	2
Lítia	2
Liv	2
Lívia	2
Liviána	2
Livianna	2
Liz	2
Liza	2
Lizabell	2
Lizabella	2
Lizabett	2
Lizandra	2
Lizanka	2
Lizanna	2
Lizavéta	2
Lizbett	2
Lízel	2
Lizett	2
Lizetta	2
Lizi	2
Lízia	2
Lizinka	2
Ljuba	2
Lóisz	2
Lola	2
Lolita	2
Lolli	2
Lona	2
Lóna	2
Lonci	2
Lonka	2
Lora	2
Lorabell	2
Lorabella	2
Lorella	2
Lorena	2
Loréna	2
Lorenza	2
Lorett	2
Loretta	2
Lori	2
Loriana	2
Lorin	2
Lorina	2
Lorka	2
Lorna	2
Lotta	2
Lotte	2
Lotti	2
Luca	2
Lúcia	2
Luciána	2
Lucilla	2
Lucinda	2
Lúcsia	2
Ludmilla	2
Ludovika	2
Lujza	2
Lujzi	2
Lukrécia	2
Lula	2
Lulu	2
Luna	2
Lupitá	2
Lüszi	2
Mábel	2
Mabella	2
Madita	2
Madlen	2
Madléna	2
Magda	2
Magdaléna	2
Magdi	2
Magdó	2
Magdolna	2
Magnólia	2
Magorka	2
Mahália	2
Maida	2
Maja	2
Majoranna	2
Makaréna	2
Makrina	2
Malajka	2
Maléna	2
Malina	2
Malka	2
Málna	2
Malvin	2
Malvina	2
Mályva	2
Maminti	2
Mana	2
Manda	2
Mandola	2
Mandorla	2
Mandula	2
Manfréda	2
Manga	2
Manka	2
Manna	2
Manolita	2
Manon	2
Manszvéta	2
Manuela	2
Manuéla	2
Manuella	2
Manyi	2
Mara	2
Marcella	2
Marcellina	2
Maréza	2
Margarét	2
Margaréta	2
Margaretta	2
Margarita	2
Margit	2
Margita	2
Margitta	2
Margitvirág	2
Margó	2
Mari	2
Mária	2
Mariam	2
Mariann	2
Marianna	2
Marica	2
Mariella	2
Mariett	2
Marietta	2
Marika	2
Marilla	2
Marina	2
Marinella	2
Marinetta	2
Marinka	2
Marion	2
Marióra	2
Mariska	2
Marita	2
Markéta	2
Marléne	2
Márta	2
Márti	2
Martina	2
Martinella	2
Martinka	2
Masa	2
Mása	2
Matild	2
Matilda	2
Mátka	2
Maura	2
Maurícia	2
Maxima	2
Maximilla	2
Mea	2
Méda	2
Medárda	2
Médea	2
Médeia	2
Médi	2
Medina	2
Medó	2
Medóra	2
Megán	2
Megara	2
Meggi	2
Mehdia	2
Meike	2
Meira	2
Melani	2
Melánia	2
Melba	2
Mélia	2
Melina	2
Melinda	2
Melióra	2
Melissza	2
Melitta	2
Melizand	2
Melodi	2
Melódia	2
Meluzina	2
Mena	2
Mendi	2
Menodóra	2
Menta	2
Méra	2
Méráb	2
Mercédesz	2
Meredisz	2
Meri	2
Méri	2
Meril	2
Merilin	2
Merima	2
Messzua	2
Méta	2
Metella	2
Métisz	2
Metta	2
Mézi	2
Mia	2
Miana	2
Mici	2
Miett	2
Mietta	2
Mihaéla	2
Mikaéla	2
Mikolt	2
Mila	2
Milágrosz	2
Milana	2
Milanna	2
Milda	2
Mildi	2
Milena	2
Miléna	2
Miletta	2
Milica	2
Milijana	2
Milka	2
Milla	2
Milli	2
Mimi	2
Mimma	2
Mimóza	2
Mina	2
Mína	2
Mínea	2
Minerva	2
Minetta	2
Minka	2
Minna	2
Minóna	2
Mira	2
Míra	2
Mirabel	2
Mirabell	2
Mirabella	2
Mirana	2
Miranda	2
Mirandella	2
Mirandola	2
Mirandolína	2
Mirázs	2
Mirea	2
Mirella	2
Miri	2
Míria	2
Miriam	2
Miriám	2
Mirijam	2
Mirjam	2
Mirjám	2
Mirjána	2
Mirka	2
Mirna	2
Mirona	2
Mirtilia	2
Mirtill	2
Misell	2
Mita	2
Miu	2
Moána	2
Modeszta	2
Modesztina	2
Mogyoró	2
Móhini	2
Moira	2
Molli	2
Mona	2
Móna	2
Móni	2
Mónika	2
Montika	2
Morella	2
Morgána	2
Muriel	2
Múzsa	2
Nabiha	2
Nabila	2
Nadett	2
Nadia	2
Nadin	2
Nadina	2
Nadinka	2
Nadira	2
Nádja	2
Nagyezsda	2
Naira	2
Nájiká	2
Nala	2
Nalani	2
Naliba	2
Nalini	2
Nalla	2
Namika	2
Nana	2
Nanae	2
Nanda	2
Nandin	2
Nandini	2
Nandita	2
Nanett	2
Nanetta	2
Náni	2
Naomi	2
Naómi	2
Napsugár	2
Napvirág	2
Nara	2
Nárcisz	2
Narcissza	2
Narin	2
Narina	2
Narmin	2
Násfa	2
Nasira	2
Nasztázia	2
Natali	2
Natália	2
Natánia	2
Natasa	2
Nauszika	2
Nausziká	2
Nauzika	2
Nazira	2
Nazli	2
Nea	2
Nedda	2
Nefelejcs	2
Nefeli	2
Néla	2
Nelda	2
Néle	2
Nélia	2
Nella	2
Nelli	2
Nenszi	2
Nerella	2
Nerina	2
Neste	2
Neszrin	2
Neszta	2
Netta	2
Netti	2
Néva	2
Névia	2
Nia	2
Niara	2
Nika	2
Niké	2
Niki	2
Nikodémia	2
Nikol	2
Nikola	2
Nikolett	2
Nikoletta	2
Nikolina	2
Nila	2
Níla	2
Nilla	2
Nilüfer	2
Nimfa	2
Nina	2
Ninell	2
Ninett	2
Ninetta	2
Ninon	2
Niobé	2
Nirmalá	2
Nisá	2
Nissza	2
Nita	2
Niva	2
Noa	2
Noéla	2
Noélia	2
Noelin	2
Noelina	2
Noella	2
Noémi	2
Nola	2
Nolina	2
Nomin	2
Nona	2
Nóna	2
Nonna	2
Nóra	2
Norberta	2
Norella	2
Norena	2
Nóri	2
Norina	2
Norka	2
Norma	2
Nova	2
Nóva	2
Noveli	2
Nurbanu	2
Núria	2
Nyeste	2
Nyina	2
Oana	2
Óceánia	2
Odett	2
Odetta	2
Odil	2
Odília	2
Ofélia	2
Oktávia	2
Olena	2
Olga	2
Oliána	2
Olimpia	2
Olina	2
Olinda	2
Oliva	2
Olivia	2
Olívia	2
Opál	2
Opika	2
Ora	2
Orália	2
Orchidea	2
Orgona	2
Oriána	2
Orsi	2
Orsika	2
Orsolya	2
Oszvalda	2
Otília	2
Otti	2
Ottilia	2
Oxána	2
Ozora	2
Örsi	2
Örsike	2
Örzse	2
Õszike	2
Õzike	2
Padma	2
Pálma	2
Palmira	2
Paloma	2
Palóma	2
Pamela	2
Paméla	2
Pamína	2
Pandora	2
Pandóra	2
Panka	2
Panna	2
Panni	2
Parisza	2
Paszkália	2
Pasztorella	2
Patricia	2
Patrícia	2
Paula	2
Pauletta	2
Paulin	2
Paulina	2
Peggi	2
Pelágia	2
Pénelopé	2
Peónia	2
Peregrina	2
Perenna	2
Perla	2
Perpétua	2
Petra	2
Petrina	2
Petronella	2
Petrónia	2
Petúnia	2
Pilár	2
Pintyõke	2
Pipacs	2
Pippa	2
Pírea	2
Piri	2
Pirit	2
Piros	2
Piroska	2
Placida	2
Platina	2
Póla	2
Polda	2
Polett	2
Pólika	2
Polina	2
Polixéna	2
Polixénia	2
Polla	2
Polli	2
Pompília	2
Pompónia	2
Poppea	2
Primula	2
Priszcilla	2
Prudencia	2
Psziché	2
Ráchel	2
Rafaéla	2
Rafaella	2
Ragna	2
Ráhel	2
Rahima	2
Raina	2
Rajmonda	2
Rajmunda	2
Rákhel	2
Rákis	2
Raktimá	2
Ramina	2
Ramira	2
Ramóna	2
Rana	2
Rania	2
Ránia	2
Rasdi	2
Rea	2
Rebeka	2
Rege	2
Regina	2
Reina	2
Réka	2
Relinda	2
Rella	2
Relli	2
Remény	2
Reményke	2
Réna	2
Renáta	2
Reni	2
Réta	2
Rezeda	2
Rézi	2
Ria	2
Riana	2
Rika	2
Ríka	2
Rikarda	2
Ripszima	2
Rita	2
Ritta	2
Riza	2
Roberta	2
Robertin	2
Robertina	2
Robina	2
Robinetta	2
Rodé	2
Rodelinda	2
Rodina	2
Romána	2
Romi	2
Romina	2
Rominett	2
Romola	2
Rona	2
Ronett	2
Ronetta	2
Rovéna	2
Roxán	2
Roxána	2
Róz	2
Róza	2
Rózabella	2
Rozál	2
Rozali	2
Rozália	2
Rozalin	2
Rozalina	2
Rozalinda	2
Rózamari	2
Rozamunda	2
Rozanna	2
Rozi	2
Rózi	2
Rozina	2
Rozita	2
Rozmarin	2
Rozmaring	2
Rozvita	2
Rózsa	2
Rózsi	2
Röné	2
Rubi	2
Rubin	2
Rubina	2
Rubinka	2
Rudolfina	2
Rufina	2
Rúna	2
Ruperta	2
Ruszalka	2
Ruszlána	2
Rut	2
Ruti	2
Ruzsinka	2
Rüja	2
Sába	2
Sáfély	2
Sáfrány	2
Sakira	2
Sakti	2
Salóme	2
Salomé	2
Samuella	2
Sanel	2
Santál	2
Santel	2
Sára	2
Sári	2
Sarlott	2
Sárlott	2
Sárma	2
Sármen	2
Sarolt	2
Sarolta	2
Sáron	2
Seherezádé	2
Seila	2
Sejda	2
Sejla	2
Sekina	2
Seli	2
Senon	2
Sera	2
Serihen	2
Serin	2
Seron	2
Sifra	2
Sina	2
Sirá	2
Siváni	2
Skolasztika	2
Stefánia	2
Stefi	2
Stella	2
Sudár	2
Sudárka	2
Sugár	2
Sugárka	2
Suki	2
Szabella	2
Szabina	2
